

TIME =   1.200e+01

Nodal Displacements

 Node          U1          U2 
  669  -5.532e-02   6.355e-02
  670  -5.878e-02   6.812e-02
  671  -6.225e-02   7.276e-02
  672  -6.575e-02   7.747e-02
  673  -6.926e-02   8.225e-02
  674  -7.279e-02   8.707e-02
  675  -7.632e-02   9.190e-02
  676  -7.984e-02   9.673e-02
  677  -8.335e-02   1.015e-01
  678  -8.681e-02   1.061e-01
  679  -9.023e-02   1.105e-01
  680  -9.357e-02   1.147e-01
  681  -9.682e-02   1.184e-01
  682  -9.999e-02   1.216e-01
  683   0.000e+00   0.000e+00
  684  -3.123e-03   3.172e-03
  685  -6.275e-03   6.431e-03
  686  -9.454e-03   9.771e-03
  687  -1.266e-02   1.319e-02
  688  -1.588e-02   1.667e-02
  689  -1.912e-02   2.023e-02
  690  -2.238e-02   2.385e-02
  691  -2.566e-02   2.755e-02
  692  -2.894e-02   3.133e-02
  693  -3.225e-02   3.519e-02
  694  -3.557e-02   3.913e-02
  695  -3.891e-02   4.317e-02
  696  -4.226e-02   4.729e-02
  697  -4.564e-02   5.150e-02
  698  -4.903e-02   5.580e-02
  699  -5.244e-02   6.019e-02
  700  -5.586e-02   6.466e-02
  701  -5.931e-02   6.921e-02
  702  -6.277e-02   7.382e-02
  703  -6.624e-02   7.849e-02
  704  -6.972e-02   8.320e-02
  705  -7.321e-02   8.792e-02
  706  -7.669e-02   9.265e-02
  707  -8.016e-02   9.732e-02
  708  -8.361e-02   1.019e-01
  709  -8.701e-02   1.063e-01
  710  -9.036e-02   1.106e-01
  711  -9.364e-02   1.145e-01
  712  -9.685e-02   1.181e-01
  713  -9.999e-02   1.212e-01
  714   0.000e+00   0.000e+00
  715  -3.186e-03   3.314e-03
  716  -6.401e-03   6.713e-03
  717  -9.640e-03   1.018e-02
  718  -1.290e-02   1.371e-02
  719  -1.617e-02   1.730e-02
  720  -1.946e-02   2.094e-02
  721  -2.276e-02   2.464e-02
  722  -2.607e-02   2.841e-02
  723  -2.939e-02   3.224e-02
  724  -3.272e-02   3.614e-02
  725  -3.606e-02   4.012e-02
  726  -3.942e-02   4.418e-02
  727  -4.278e-02   4.833e-02
  728  -4.616e-02   5.255e-02
  729  -4.955e-02   5.687e-02
  730  -5.295e-02   6.125e-02
  731  -5.637e-02   6.572e-02
  732  -5.980e-02   7.025e-02
  733  -6.324e-02   7.483e-02
  734  -6.668e-02   7.946e-02
  735  -7.013e-02   8.411e-02
  736  -7.358e-02   8.875e-02
  737  -7.701e-02   9.337e-02
  738  -8.043e-02   9.793e-02
  739  -8.382e-02   1.024e-01
  740  -8.717e-02   1.066e-01
  741  -9.047e-02   1.107e-01
  742  -9.371e-02   1.145e-01
  743  -9.688e-02   1.179e-01
  744  -9.999e-02   1.210e-01
  745   0.000e+00   0.000e+00
  746  -3.254e-03   3.463e-03
  747  -6.536e-03   7.007e-03
  748  -9.839e-03   1.061e-02
  749  -1.316e-02   1.426e-02
  750  -1.649e-02   1.794e-02
  751  -1.982e-02   2.167e-02
  752  -2.316e-02   2.543e-02
  753  -2.651e-02   2.925e-02
  754  -2.986e-02   3.312e-02
  755  -3.321e-02   3.706e-02
  756  -3.657e-02   4.107e-02
  757  -3.994e-02   4.516e-02
  758  -4.331e-02   4.932e-02
  759  -4.669e-02   5.356e-02
  760  -5.008e-02   5.788e-02
  761  -5.347e-02   6.227e-02
  762  -5.687e-02   6.673e-02
  763  -6.028e-02   7.124e-02
  764  -6.369e-02   7.580e-02
  765  -6.711e-02   8.039e-02
  766  -7.052e-02   8.499e-02
  767  -7.392e-02   8.956e-02
  768  -7.731e-02   9.410e-02
  769  -8.068e-02   9.855e-02
  770  -8.402e-02   1.029e-01
  771  -8.732e-02   1.070e-01
  772  -9.057e-02   1.109e-01
  773  -9.377e-02   1.146e-01
  774  -9.691e-02   1.180e-01
  775  -9.999e-02   1.210e-01
  776   0.000e+00   0.000e+00
  777  -3.328e-03   3.624e-03
